Season,Seed,TeamID
2023,W01,1104
2023,X01,1222
2023,Y01,1242
2023,Z01,1345
2023,W02,1417
2023,X02,1400
2023,Y02,1112
2023,Z02,1266
2023,W03,1124
2023,X03,1211
2023,Y03,1243
2023,Z03,1462
2023,W04,1163
2023,X04,1397
2023,Y04,1231
2023,Z04,1438
2023,W05,1361
2023,X05,1181
2023,Y05,1388
2023,Z05,1274
2023,W06,1235
2023,X06,1166
2023,Y06,1246
2023,Z06,1395
2023,W07,1401
2023,X07,1277
2023,Y07,1281
2023,Z07,1321
2023,W08,1272
2023,X08,1116
2023,Y08,1268
2023,Z08,1234
2023,W09,1194
2023,X09,1452
2023,Y09,1120
2023,Z09,1228
2023,W10,1129
2023,X10,1336
2023,Y10,1425
2023,Z10,1429
2023,W11,1301
2023,X11,1344
2023,Y11,1280
2023,Y11,1338
2023,Z11,1113
2023,Z11,1305
2023,W12,1158
2023,X12,1331
2023,Y12,1179
2023,Z12,1433
2023,W13,1245
2023,X13,1233
2023,Y13,1202
2023,Z13,1418
2023,W14,1244
2023,X14,1364
2023,Y14,1213
2023,Z14,1286
2023,W15,1436
2023,X15,1159
2023,Y15,1343
2023,Z15,1421
2023,W16,1297
2023,W16,1224
2023,X16,1394
2023,X16,1411
2023,Y16,1369
2023,Z16,1192
