teamseed,opp1,opp2,opp3
W01,W16,W08,W09
W02,W15,W07,W10
W03,W14,W06,W11
W04,W13,W05,W12
W05,W12,W04,W13
W06,W11,W03,W14
W07,W10,W02,W11
W08,W09,W01,W16
W09,W08,W01,W16
W10,W07,W02,W15
W11,W06,W03,W14
W12,W05,W04,W13
W13,W04,W05,W12
W14,W03,W06,W11
W15,W02,W07,W10
W16,W01,W08,W09
X01,X16,X08,X09
X02,X15,X07,X10
X03,X14,X06,X11
X04,X13,X05,X12
X05,X12,X04,X13
X06,X11,X03,X14
X07,X10,X02,X11
X08,X09,X01,X16
X09,X08,X01,X16
X10,X07,X02,X15
X11,X06,X03,X14
X12,X05,X04,X13
X13,X04,X05,X12
X14,X03,X06,X11
X15,X02,X07,X10
X16,X01,X08,X09
Y01,Y16,Y08,Y09
Y02,Y15,Y07,Y10
Y03,Y14,Y06,Y11
Y04,Y13,Y05,Y12
Y05,Y12,Y04,Y13
Y06,Y11,Y03,Y14
Y07,Y10,Y02,Y11
Y08,Y09,Y01,Y16
Y09,Y08,Y01,Y16
Y10,Y07,Y02,Y15
Y11,Y06,Y03,Y14
Y12,Y05,Y04,Y13
Y13,Y04,Y05,Y12
Y14,Y03,Y06,Y11
Y15,Y02,Y07,Y10
Y16,Y01,Y08,Y09
Z01,Z16,Z08,Z09
Z02,Z15,Z07,Z10
Z03,Z14,Z06,Z11
Z04,Z13,Z05,Z12
Z05,Z12,Z04,Z13
Z06,Z11,Z03,Z14
Z07,Z10,Z02,Z11
Z08,Z09,Z01,Z16
Z09,Z08,Z01,Z16
Z10,Z07,Z02,Z15
Z11,Z06,Z03,Z14
Z12,Z05,Z04,Z13
Z13,Z04,Z05,Z12
Z14,Z03,Z06,Z11
Z15,Z02,Z07,Z10
Z16,Z01,Z08,Z09
